subject_id,time,Acidovorax,Acinetobacter,Aeromonas,Aliarcobacter,Aquabacterium_A,Bacteroides,Brachymonas,Brevefilum,Brevundimonas,Cloacibacterium,Comamonas,Competibacter_A,Enterobacter,Fermentibacter,Flavobacterium,Giesbergeria,Hydrogenophaga,JAGOYM01,Janthinobacterium,Kaistella,Lactococcus_A,Lenti-01,Microthrix,Moraxella_A,Neisseria,Novosphingobium,Ottowia,Paracoccus,Phocaeicola,Prevotella,Propionivibrio,Pseudomonas_E,Pseudoxanthomonas,Pseudoxanthomonas_A,Psychrobacter,Rubrivivax,Streptococcus,Telluria,Thauera,Thermomonas,Thiothrix,Tolumonas,Trichococcus,UBA1413
Budapest,80,0.03236725,0.010741576,0.00078757,0.001503182,0.000131712,8.21136e-05,0.006641569,9.8359e-06,0.00068114,0.00283966,0.00806012,0.000131665,0.000537399,2.8117e-06,0.000888232,0.004351965,0.000420447,0.000226422,0.002385895,0.00047074,3.48175e-05,0.002359487,1.08277e-05,0.000531471,0.017499456,0.000538913,0.011831323,0.001062357,0.000136214,0.000299403,0.007762017,0.7303727,0.003935687,0.007622305,0.004307357,0.000108127,0.001583498,0.002078001,0.004941549,0.00559499,0.000392136,0.000136573,0.001830558,2.42979e-06
Budapest,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Budapest,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Budapest,83,0.015662156,0.009641882,0.001084428,0.002564137,5.23278e-05,0.000183532,0.014133484,1.7902e-06,0.000859641,0.002529222,0.004141093,0.000357954,0.0005083,2.07333e-06,0.000636381,0.001067025,9.50669e-05,0.000941939,0.000624601,0.000555212,3.64303e-05,0.00191362,5.06433e-06,0.000356574,0.009711455,0.000428387,0.009884237,0.001128262,0.000513516,0.000267422,0.007690424,0.77480704,0.003752701,0.005557893,0.000125972,7.0633e-05,0.003405863,0.000441732,0.003890841,0.003524823,8.17307e-05,0.000392171,0.003151928,1.98912e-07
Budapest,84,0.020519052,0.005654566,0.001408871,0.004661676,7.07803e-05,0.000150853,0.00679658,6.79992e-07,0.000367639,0.002013575,0.006281052,0.000243318,0.000473024,1.3576e-06,0.000532604,0.003215249,0.000169073,0.001800731,0.000742472,0.000304133,2.19381e-05,0.001516165,5.9922e-06,0.000382922,0.008441931,0.000598923,0.01678895,0.000690713,0.000213997,0.000225922,0.00948712,0.7516588,0.004405702,0.005336469,6.50159e-05,0.000145875,0.001494591,0.000435029,0.004513457,0.004477571,0.000265712,0.000522836,0.000691747,4.7067e-06
Budapest,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Budapest,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Budapest,87,0.09267191,0.031564914,0.018047864,0.037647545,0.003350903,0.003537864,0.014946938,4.02009e-06,0.001120462,0.017954933,0.049424406,0.000171952,0.001632134,4.88325e-06,0.004421209,0.015724173,0.002651942,0.003314519,0.001291597,0.003225071,8.23393e-05,0.002581509,1.99665e-05,0.00423185,0.031078061,0.004861042,0.04012623,0.002525648,0.005679047,0.003046273,0.028590804,0.025056152,0.008519786,0.034025278,0.000354248,0.000982644,0.008386607,0.000812901,0.019176843,0.03289133,0.00445421,0.001649531,0.001972011,1.65519e-06
Budapest,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Budapest,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
